iter	Passed	Remaining
804	230072	55731
805	230384	55452
806	230669	55166
807	230947	54878
808	231243	54595
809	231470	54295
810	231741	54006
811	232017	53718
812	232306	53433
813	232614	53152
814	232944	52877
815	233235	52592
816	233588	52321
817	233876	52036
818	234152	51748
819	234488	51472
820	234899	51214
821	235184	50928
822	235412	50629
823	235680	50339
824	235980	50056
825	236350	49788
826	236618	49498
827	236873	49205
828	237172	48922
829	237376	48619
830	237696	48340
831	237965	48050
832	238218	47758
833	238562	47483
834	238857	47199
835	239170	46918
836	239462	46633
837	239743	46346
838	240040	46062
839	240332	45777
840	240607	45489
841	240890	45202
842	241207	44922
843	241491	44635
844	241813	44356
845	242132	44076
846	242394	43785
847	242669	43497
848	242926	43205
849	243247	42925
850	243516	42636
851	243862	42361
852	244200	42083
853	244478	41796
854	244799	41515
855	245080	41228
856	245315	40933
857	245617	40649
858	245928	40367
859	246148	40070
860	246430	39783
861	246824	39514
862	247070	39222
863	247354	38935
864	247627	38647
865	247911	38360
866	248195	38073
867	248518	37793
868	248841	37512
869	249120	37224
870	249358	36931
871	249641	36644
872	249918	36357
873	250232	36074
874	250518	35788
875	250807	35502
876	251137	35222
877	251443	34938
878	251720	34650
879	251988	34362
880	252285	34077
881	252549	33787
882	252827	33500
883	253112	33213
884	253477	32937
885	253782	32653
886	254044	32364
887	254278	32071
888	254627	31792
889	254957	31511
890	255327	31235
891	255657	30954
892	255941	30667
893	256342	30394
894	256658	30110
895	256904	29819
896	257206	29534
897	257508	29249
898	257859	28969
899	258199	28688
900	258505	28404
901	258777	28115
902	259095	27831
903	259399	27546
904	259703	27261
905	260062	26982
906	260319	26692
907	260582	26402
908	260939	26122
909	261196	25832
910	261461	25543
911	261789	25260
912	262048	24970
913	262300	24680
914	262532	24388
915	262760	24095
916	263000	23804
917	263271	23516
918	263503	23225
919	263730	22933
920	263963	22641
921	264197	22350
922	264413	22058
923	264637	21766
924	264802	21470
925	264987	21176
926	265164	20881
927	265372	20589
928	265542	20294
929	265767	20004
930	265935	19709
931	266143	19418
932	266341	19126
933	266544	18835
934	266747	18543
935	266953	18253
936	267153	17962
937	267372	17672
938	267523	17379
939	267748	17090
940	267915	16798
941	268093	16506
942	268273	16215
943	268427	15923
944	268648	15635
945	268835	15345
946	269004	15055
947	269179	14765
948	269345	14474
949	269542	14186
950	269703	13896
951	269865	13606
952	270027	13317
953	270197	13028
954	270387	12740
955	270564	12452
956	270738	12164
957	270902	11876
958	271083	11589
959	271264	11302
960	271431	11015
961	271579	10727
962	271718	10439
963	271890	10153
964	272050	9867
965	272229	9581
966	272400	9295
967	272548	9009
968	272708	8724
969	272891	8439
970	273035	8154
971	273198	7869
972	273350	7585
973	273458	7299
974	273616	7015
975	273749	6731
976	273920	6448
977	274126	6166
